    "RefForce"    ,       "CD"       ,       "CL"       ,       "CSF"      ,       "CMx"      ,       "CMy"      ,       "CMz"      ,       "CFx"      ,       "CFy"      ,       "CFz"      ,      "CEff"      ,     "Buffet"     
       14525.13454,      0.1165224671,      0.2512307782,                 0,                 0,                 0,      0.1011828408,      0.1041555772,      0.2566047642,                 0,       2.156071567,   0.0006462560993
       14525.13454,      0.1171250457,      0.2544994323,                 0,                 0,                 0,      0.1021376002,      0.1045983383,      0.2598988745,                 0,       2.172886514,   0.0006462560993
       14525.13454,      0.1175754849,      0.2580979156,                 0,                 0,                 0,      0.1033723524,      0.1048730859,      0.2635150177,                 0,       2.195167774,   0.0006462560993
       14525.13454,       0.117816045,      0.2620826139,                 0,                 0,                 0,      0.1048903407,      0.1049194038,      0.2675067021,                 0,       2.224506975,   0.0006462560993
       14525.13454,      0.1178012634,      0.2665144695,                 0,                 0,                 0,      0.1066846946,      0.1046889172,      0.2719325849,                 0,       2.262407565,   0.0006462560993
       14525.13454,      0.1175006899,      0.2714507255,                 0,                 0,                 0,      0.1087405286,      0.1041484255,      0.2768483592,                 0,       2.310205377,   0.0006462560993
       14525.13454,      0.1168998389,      0.2769351821,                 0,                 0,                 0,      0.1110368887,      0.1032813284,       0.282297068,                 0,       2.368995412,   0.0006462560993
       14525.13454,      0.1160013619,       0.282992452,                 0,                 0,                 0,      0.1135510487,      0.1020890761,      0.2883034242,                 0,       2.439561461,   0.0006462560993
       14525.13454,      0.1148218385,      0.2896206115,                 0,                 0,                 0,      0.1162581831,      0.1005883222,      0.2948663131,                 0,       2.522347797,   0.0006462560993
       14525.13454,      0.1133887801,      0.2967912584,                 0,                 0,                 0,      0.1191336236,      0.0988079281,      0.3019587056,                 0,       2.617465838,   0.0006462560993
       14525.13454,      0.1117367405,      0.3044497173,                 0,                 0,                 0,       0.122151934,     0.09678506779,      0.3095276727,                 0,       2.724705554,   0.0006462560993
       14525.13454,      0.1099039672,      0.3125215762,                 0,                 0,                 0,      0.1252884064,     0.09456156563,      0.3175007526,                 0,       2.843587764,   0.0006462560993
       14525.13454,      0.1079296998,      0.3209197908,                 0,                 0,                 0,       0.128519319,     0.09218085162,       0.325792914,                 0,       2.973415024,   0.0006462560993
       14525.13454,      0.1058513054,      0.3295481503,                 0,                 0,                 0,      0.1318193012,     0.08968493163,      0.3343098791,                 0,       3.113312104,   0.0006462560993
       14525.13454,      0.1037028272,      0.3383084693,                 0,                 0,                 0,      0.1351617289,     0.08711258772,      0.3429552359,                 0,       3.262287813,   0.0006462560993
       14525.13454,      0.1015140945,      0.3471055539,                 0,                 0,                 0,      0.1385180004,     0.08449824746,      0.3516353553,                 0,       3.419284342,   0.0006462560993
       14525.13454,     0.09930973017,      0.3558496439,                 0,                 0,                 0,      0.1418565174,     0.08187087359,      0.3602617821,                 0,       3.583230398,   0.0006462560993
       14525.13454,     0.09711064276,      0.3644632686,                 0,                 0,                 0,      0.1451457609,     0.07925512087,       0.368758155,                 0,       3.753072353,   0.0006462560993
       14525.13454,     0.09493348464,      0.3728801559,                 0,                 0,                 0,       0.148353025,     0.07667084772,      0.3770590912,                 0,        3.92780437,   0.0006462560993
       14525.13454,     0.09279115855,      0.3810465179,                 0,                 0,                 0,      0.1514456008,     0.07413355973,      0.3851114946,                 0,       4.106495962,   0.0006462560993
       14525.13454,     0.09069344205,      0.3889202341,                 0,                 0,                 0,      0.1543914648,     0.07165507313,      0.3928737703,                 0,          4.288295,   0.0006462560993
       14525.13454,     0.08864806282,      0.3964722998,                 0,                 0,                 0,      0.1571618984,     0.06924451824,      0.4003173245,                 0,       4.472430499,   0.0006462560993
       14525.13454,     0.08666059096,      0.4036857477,                 0,                 0,                 0,      0.1597322409,     0.06690828445,      0.4074254808,                 0,       4.658239036,   0.0006462560993
       14525.13454,     0.08473476533,      0.4105540988,                 0,                 0,                 0,       0.162082762,     0.06465042156,      0.4141919501,                 0,       4.845167119,   0.0006462560993
