"PointID","x","y","Density","Momentum_x","Momentum_y","Energy","Turb_Kin_Energy","Omega","Pressure","Temperature","Mach","Pressure_Coefficient","Velocity_x","Velocity_y","Laminar_Viscosity","Skin_Friction_Coefficient_x","Skin_Friction_Coefficient_y","Heat_Flux","Y_Plus","Eddy_Viscosity"
285, 8.049457669258120e-01, -8.241767995059490e-03, 4.617998987818535e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.053543037232036e+05, 1.000000000000000e-10, 2.666805726591632e+08, 4.214172148928140e+04, 3.178987238197050e+02, 0.000000000000000e+00, 2.496852926047368e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.929407043730353e-05, 1.653350763529669e-03, 1.841982450896216e-04, -7.889069824157305e+01, 1.938055052893847e+00, 1.731653003445391e-19
311, 7.863141298294070e-01, -1.036873925477270e-02, 4.595394227996270e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.048179680053447e+05, 1.000000000000000e-10, 2.678455410691804e+08, 4.192718720213787e+04, 3.178361551648177e+02, 0.000000000000000e+00, 2.349154268558939e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.929119272735741e-05, 1.675357402811667e-03, 1.988950121053937e-04, -7.888511459314731e+01, 1.947614780044529e+00, 1.715682325086844e-19
337, 7.678796052932740e-01, -1.264218706637620e-02, 4.568073562362505e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.041723846949596e+05, 1.000000000000000e-10, 2.696369149109902e+08, 4.166895387798383e+04, 3.177677754648170e+02, 0.000000000000000e+00, 2.171370494206787e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.928804743044931e-05, 1.707646426826629e-03, 2.154330743200555e-04, -7.989305303543962e+01, 1.960784524240143e+00, 1.694151917876201e-19
363, 7.495508193969730e-01, -1.500672101974490e-02, 4.539034034911643e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.034873159003739e+05, 1.000000000000000e-10, 2.714450286326513e+08, 4.139492636014953e+04, 3.176976632062405e+02, 0.000000000000000e+00, 1.982713021138473e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.928482209248246e-05, 1.748301040786117e-03, 2.300820773314323e-04, -8.283532367946910e+01, 1.978207332574055e+00, 1.672169232510551e-19
389, 7.313483357429500e-01, -1.744982041418550e-02, 4.508117987361763e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.027596326643071e+05, 1.000000000000000e-10, 2.732828589805101e+08, 4.110385306572283e+04, 3.176271412278992e+02, 0.000000000000000e+00, 1.782320182352776e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.928157755119929e-05, 1.794585741518282e-03, 2.436190569738008e-04, -8.702077417259434e+01, 1.998170427544587e+00, 1.649611251458546e-19
415, 7.132214307785030e-01, -1.993851736187930e-02, 4.476912603056820e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.020263042397699e+05, 1.000000000000000e-10, 2.755021506566147e+08, 4.081052169590793e+04, 3.175585977541461e+02, 0.000000000000000e+00, 1.580372744962897e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.927842369453838e-05, 1.842777489498648e-03, 2.556994214175438e-04, -9.202056661786585e+01, 2.017208405468564e+00, 1.624996299838905e-19
441, 6.951977014541630e-01, -2.246599644422530e-02, 4.442486285548382e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.012190700117500e+05, 1.000000000000000e-10, 2.775490508545976e+08, 4.048762800469996e+04, 3.174874652990107e+02, 0.000000000000000e+00, 1.358072779125766e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.927515035635343e-05, 1.894448969027209e-03, 2.683642429988040e-04, -9.781789271180352e+01, 2.038298945671285e+00, 1.600608449266223e-19
467, 6.773055195808410e-01, -2.502630092203620e-02, 4.408682248032478e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.004270476541121e+05, 1.000000000000000e-10, 2.799027213804213e+08, 4.017081906164483e+04, 3.174184989794732e+02, 0.000000000000000e+00, 1.139961929841032e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.927197635201461e-05, 1.946232975721035e-03, 2.789654082113481e-04, -1.046435767377513e+02, 2.057655170952314e+00, 1.575072017373245e-19
493, 6.594728827476500e-01, -2.758665196597580e-02, 4.372941400194710e-01, 0.000000000000000e+00, 0.000000000000000e+00, 9.959089985154189e+04, 1.000000000000000e-10, 2.824166783108805e+08, 3.983635994061673e+04, 3.173484163973621e+02, 0.000000000000000e+00, 9.096996075878136e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.926875062507636e-05, 1.997297088956996e-03, 2.889866521542285e-04, -1.122835617717261e+02, 2.075525083403137e+00, 1.548395928563509e-19
519, 6.418011188507080e-01, -3.016339242458340e-02, 4.323511300137256e-01, 0.000000000000000e+00, 0.000000000000000e+00, 9.843651707804335e+04, 1.000000000000000e-10, 2.854234927929499e+08, 3.937460683121732e+04, 3.172560970434509e+02, 0.000000000000000e+00, 5.918002393447740e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.926450085715815e-05, 2.075755313343509e-03, 3.047677882933480e-04, -1.242882112699521e+02, 2.105235501157722e+00, 1.514765956873955e-19
545, 6.243042349815370e-01, -3.275020420551300e-02, 4.280461340655041e-01, 0.000000000000000e+00, 0.000000000000000e+00, 9.742877936731010e+04, 1.000000000000000e-10, 2.884644946935115e+08, 3.897151174692401e+04, 3.171662878102035e+02, 0.000000000000000e+00, 3.142846795570110e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.926036605167983e-05, 2.165889720242456e-03, 3.101480259212158e-04, -1.410047789598494e+02, 2.138724679297767e+00, 1.483873261093072e-19
571, 6.065399646759030e-01, -3.521266952157020e-02, 4.251072885314134e-01, 0.000000000000000e+00, 0.000000000000000e+00, 9.673219580433733e+04, 1.000000000000000e-10, 2.906174980278572e+08, 3.869287832173490e+04, 3.170756065062234e+02, 0.000000000000000e+00, 1.224562153064461e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.925619050881225e-05, 2.244205936302579e-03, 3.084324949650531e-04, -1.512772228394488e+02, 2.168313339338103e+00, 1.462767570504969e-19
597, 5.888153314590450e-01, -3.762762248516080e-02, 4.211540770381336e-01, 0.000000000000000e+00, 0.000000000000000e+00, 9.580151760169760e+04, 1.000000000000000e-10, 2.934607083150471e+08, 3.832060704067902e+04, 3.169725955969905e+02, 0.000000000000000e+00, -1.338383339963602e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.925144651636006e-05, 2.312185343074332e-03, 3.168424394749921e-04, -1.561802361420345e+02, 2.190406909671011e+00, 1.435124281253570e-19
