current_mesh
  1.000000   0.001250
  0.999482   0.001347
  0.997928   0.001638
  0.995343   0.002121
  0.991731   0.002795
  0.987100   0.003658
  0.981459   0.004707
  0.974820   0.005937
  0.967197   0.007343
  0.958606   0.008920
  0.949064   0.010659
  0.938591   0.012553
  0.927210   0.014590
  0.914943   0.016760
  0.901816   0.019049
  0.887856   0.021442
  0.873092   0.023924
  0.857555   0.026477
  0.841277   0.029083
  0.824291   0.031722
  0.806633   0.034373
  0.788340   0.037015
  0.769449   0.039628
  0.750000   0.042189
  0.730033   0.044677
  0.709588   0.047071
  0.688710   0.049353
  0.667440   0.051502
  0.645823   0.053503
  0.623904   0.055339
  0.601728   0.056998
  0.579341   0.058468
  0.556790   0.059739
  0.534121   0.060806
  0.511382   0.061663
  0.488618   0.062308
  0.465879   0.062741
  0.443210   0.062965
  0.420659   0.062983
  0.398272   0.062799
  0.376096   0.062422
  0.354177   0.061859
  0.332560   0.061118
  0.311290   0.060209
  0.290412   0.059141
  0.269967   0.057923
  0.250000   0.056564
  0.230551   0.055073
  0.211660   0.053459
  0.193367   0.051728
  0.175709   0.049888
  0.158723   0.047944
  0.142445   0.045901
  0.126908   0.043764
  0.112144   0.041537
  0.098184   0.039223
  0.085057   0.036826
  0.072790   0.034350
  0.061409   0.031796
  0.050936   0.029169
  0.041394   0.026473
  0.032803   0.023712
  0.025180   0.020890
  0.018541   0.018014
  0.012900   0.015089
  0.008269   0.012123
  0.004657   0.009123
  0.002072   0.006097
  0.000518   0.003053
  0.000000   0.000000
  0.000000   0.000000
  0.000518   -0.003052
  0.002072   -0.006090
  0.004657   -0.009102
  0.008269   -0.012075
  0.012900   -0.015000
  0.018541   -0.017867
  0.025180   -0.020670
  0.032803   -0.023405
  0.041394   -0.026070
  0.050936   -0.028665
  0.061409   -0.031190
  0.072790   -0.033647
  0.085057   -0.036038
  0.098184   -0.038365
  0.112144   -0.040628
  0.126908   -0.042826
  0.142445   -0.044953
  0.158723   -0.047002
  0.175709   -0.048962
  0.193367   -0.050817
  0.211660   -0.052549
  0.230551   -0.054135
  0.250000   -0.055549
  0.269967   -0.056762
  0.290412   -0.057744
  0.311290   -0.058464
  0.332560   -0.058890
  0.354177   -0.058994
  0.376096   -0.058749
  0.398272   -0.058133
  0.420659   -0.057130
  0.443210   -0.055730
  0.465879   -0.053931
  0.488618   -0.051739
  0.511382   -0.049168
  0.534121   -0.046242
  0.556790   -0.042993
  0.579341   -0.039463
  0.601728   -0.035699
  0.623904   -0.031757
  0.645823   -0.027697
  0.667440   -0.023584
  0.688710   -0.019482
  0.709588   -0.015460
  0.730033   -0.011583
  0.750000   -0.007912
  0.769449   -0.004504
  0.788340   -0.001409
  0.806633   0.001330
  0.824291   0.003682
  0.841277   0.005623
  0.857555   0.007141
  0.873092   0.008237
  0.887856   0.008921
  0.901816   0.009215
  0.914943   0.009148
  0.927210   0.008762
  0.938591   0.008103
  0.949064   0.007226
  0.958606   0.006187
  0.967197   0.005046
  0.974820   0.003864
  0.981459   0.002700
  0.987100   0.001610
  0.991731   0.000642
  0.995343   -0.000158
  0.997928   -0.000756
  0.999482   -0.001125
  1.000000   -0.001250
